timestamp,phase,trial,elapsed_sec,d_model,d_ff,d_ff_ratio,n_heads,n_layers,seq_length,dropout,learning_rate,batch_size,epochs,buy_threshold,sell_threshold,stop_loss_ratio,take_profit_ratio,max_position_ratio,annual_return,max_drawdown,sharpe_ratio,win_rate,total_trades,direction_accuracy,mse,best_val_loss,best_epoch,final_train_loss
2026-02-28 06:54:37,phase1,1,451,128,512,4,8,4,30,0.300000,0.000100,64,150,,,,,,,,,,,0.541133,0.001852,0.101309,109,0.102354
2026-02-28 06:59:29,phase1,2,292,128,256,2,8,6,30,0.184936,0.000023,128,120,,,,,,,,,,,0.492659,0.002125,0.101461,109,0.104305
2026-02-28 07:05:00,phase1,3,331,64,256,4,16,2,20,0.479554,0.000854,32,160,,,,,,,,,,,0.531344,0.001736,0.099876,49,0.092932
2026-02-28 07:09:29,phase1,4,269,512,2048,4,16,3,20,0.457931,0.000157,32,130,,,,,,,,,,,0.514839,0.001839,0.100927,33,0.099737
2026-02-28 07:13:02,phase1,5,213,256,1024,4,8,8,20,0.426185,0.000259,64,80,,,,,,,,,,,0.526294,0.001778,0.100566,61,0.095978
2026-02-28 07:25:44,phase1,6,761,128,256,2,4,5,30,0.258661,0.000028,64,270,,,,,,,,,,,0.499531,0.001901,0.100459,212,0.100466
2026-02-28 08:07:57,phase1,7,2533,128,512,4,8,4,60,0.327895,0.000068,256,240,,,,,,,,,,,0.549828,0.002327,0.101491,145,0.093960
2026-02-28 08:12:27,phase1,8,270,64,256,4,4,7,60,0.337613,0.000013,256,250,,,,,,,,,,,0.462928,0.003256,0.104002,250,0.110063
2026-02-28 08:14:17,phase1,9,110,512,1024,2,8,4,60,0.110220,0.000048,256,220,,,,,,,,,,,0.519994,0.002664,0.102708,36,0.092776
2026-02-28 08:15:21,phase1,10,64,256,1024,4,8,2,60,0.360491,0.000508,256,230,,,,,,,,,,,0.514214,0.001736,0.101166,14,0.095400
2026-02-28 08:57:42,phase2,1,6,128,512,,8,4,60,0.327895,0.000068,256,240,0.500000,-0.300000,0.050000,0.080000,0.300000,-0.132372,0.099485,-1.099491,0.422455,292,0.549828,0.002327,,,
2026-02-28 08:57:47,phase2,2,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.105410,-1.128019,0.033611,0.100645,0.315841,-0.137927,0.119498,-1.006005,0.366384,45,0.549828,0.002327,,,
2026-02-28 08:57:52,phase2,3,5,128,512,,8,4,60,0.327895,0.000068,256,240,0.750038,-0.225007,0.061090,0.092903,0.217635,-0.136418,0.093819,-1.189859,0.418699,256,0.549828,0.002327,,,
2026-02-28 08:57:58,phase2,4,6,128,512,,8,4,60,0.327895,0.000068,256,240,0.646131,-0.552235,0.046314,0.046565,0.219413,-0.137822,0.102909,-1.078515,0.427784,194,0.549828,0.002327,,,
2026-02-28 08:58:04,phase2,5,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.159394,-1.262761,0.030527,0.098471,0.259548,-0.171453,0.118689,-1.224932,0.364302,42,0.549828,0.002327,,,
2026-02-28 08:58:11,phase2,6,7,128,512,,8,4,60,0.327895,0.000068,256,240,0.327276,-0.690821,0.078936,0.040887,0.113945,-0.124928,0.096424,-1.116500,0.418911,218,0.549828,0.002327,,,
2026-02-28 08:58:15,phase2,7,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.459373,-0.699907,0.049384,0.148492,0.398838,-0.153849,0.130146,-0.974494,0.412116,63,0.549828,0.002327,,,
2026-02-28 08:58:19,phase2,8,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.494162,-0.933699,0.064583,0.148109,0.399033,-0.145294,0.124626,-0.902567,0.358216,39,0.549828,0.002327,,,
2026-02-28 08:58:23,phase2,9,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.465822,-1.480077,0.073990,0.146145,0.398925,-0.130938,0.114577,-0.893958,0.458308,15,0.549828,0.002327,,,
2026-02-28 08:58:29,phase2,10,6,128,512,,8,4,60,0.327895,0.000068,256,240,1.050111,-1.029958,0.066289,0.123686,0.128367,-0.096194,0.100840,-0.816216,0.379899,73,0.549828,0.002327,,,
2026-02-28 08:58:34,phase2,11,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.269876,-0.939671,0.021402,0.126711,0.346150,-0.093018,0.109631,-0.633690,0.355442,53,0.549828,0.002327,,,
2026-02-28 08:58:38,phase2,12,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.311701,-0.901080,0.061689,0.126342,0.353792,-0.035522,0.113770,-0.330791,0.393503,59,0.549828,0.002327,,,
2026-02-28 08:58:43,phase2,13,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.235998,-0.811541,0.022494,0.121856,0.340514,-0.169705,0.126371,-1.192344,0.419284,72,0.549828,0.002327,,,
2026-02-28 08:58:49,phase2,14,5,128,512,,8,4,60,0.327895,0.000068,256,240,0.922934,-1.230727,0.039228,0.121946,0.347477,-0.203193,0.135577,-1.422468,0.390023,41,0.549828,0.002327,,,
2026-02-28 08:58:53,phase2,15,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.298452,-0.490855,0.020370,0.133080,0.290729,-0.111855,0.113590,-0.829225,0.411865,107,0.549828,0.002327,,,
2026-02-28 08:58:58,phase2,16,5,128,512,,8,4,60,0.327895,0.000068,256,240,0.928249,-0.905497,0.057914,0.105216,0.352232,-0.092223,0.124832,-0.645829,0.397598,79,0.549828,0.002327,,,
2026-02-28 08:59:04,phase2,17,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.296443,-1.433740,0.056919,0.082843,0.181176,-0.146086,0.105652,-1.114173,0.427273,29,0.549828,0.002327,,,
2026-02-28 08:59:09,phase2,18,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.016139,-1.020482,0.039783,0.113107,0.265865,-0.109398,0.116577,-0.875833,0.418129,63,0.549828,0.002327,,,
2026-02-28 08:59:14,phase2,19,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.357490,-0.787697,0.072385,0.134575,0.350245,-0.148434,0.124542,-1.062593,0.405255,66,0.549828,0.002327,,,
2026-02-28 08:59:20,phase2,20,6,128,512,,8,4,60,0.327895,0.000068,256,240,0.202435,-1.245179,0.028754,0.065429,0.322670,-0.232375,0.131051,-1.737932,0.384092,76,0.549828,0.002327,,,
2026-02-28 08:59:25,phase2,21,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.175655,-0.510254,0.043449,0.133314,0.360871,-0.147933,0.122376,-0.947555,0.404393,116,0.549828,0.002327,,,
2026-02-28 08:59:29,phase2,22,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.483419,-0.942457,0.063920,0.139052,0.382957,-0.127678,0.123354,-0.800369,0.367987,41,0.549828,0.002327,,,
2026-02-28 08:59:34,phase2,23,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.359531,-0.995597,0.053880,0.137877,0.369809,-0.072248,0.114436,-0.522681,0.362658,48,0.549828,0.002327,,,
2026-02-28 08:59:38,phase2,24,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.381910,-1.107525,0.053737,0.110165,0.371266,-0.136119,0.122332,-0.921813,0.342678,38,0.549828,0.002327,,,
2026-02-28 08:59:43,phase2,25,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.209409,-0.716765,0.069836,0.116993,0.320791,-0.128166,0.120728,-0.886888,0.407219,86,0.549828,0.002327,,,
2026-02-28 08:59:48,phase2,26,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.377621,-1.055343,0.054481,0.129013,0.288639,-0.109387,0.111606,-0.766903,0.337753,45,0.549828,0.002327,,,
2026-02-28 08:59:54,phase2,27,5,128,512,,8,4,60,0.327895,0.000068,256,240,0.789758,-0.850893,0.059807,0.138436,0.373091,-0.179463,0.128801,-1.264344,0.411477,91,0.549828,0.002327,,,
2026-02-28 08:59:58,phase2,28,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.279336,-1.355827,0.052996,0.126505,0.328301,-0.133160,0.119782,-0.912391,0.366334,29,0.549828,0.002327,,,
2026-02-28 09:00:04,phase2,29,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.013443,-0.976359,0.043807,0.141598,0.238952,-0.061683,0.109341,-0.582506,0.387225,71,0.549828,0.002327,,,
2026-02-28 09:00:10,phase2,30,6,128,512,,8,4,60,0.327895,0.000068,256,240,0.606879,-0.614832,0.049807,0.085181,0.299351,-0.147117,0.110107,-1.120900,0.422130,176,0.549828,0.002327,,,
2026-02-28 09:00:14,phase2,31,4,128,512,,8,4,60,0.327895,0.000068,256,240,1.118936,-0.351439,0.037629,0.074004,0.379513,-0.156681,0.111365,-1.290736,0.437176,149,0.549828,0.002327,,,
2026-02-28 09:00:19,phase2,32,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.366300,-1.082327,0.053733,0.128680,0.308807,-0.107958,0.112105,-0.743526,0.338375,42,0.549828,0.002327,,,
2026-02-28 09:00:24,phase2,33,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.388374,-1.163259,0.047462,0.116449,0.305020,-0.149708,0.120665,-1.045069,0.368816,38,0.549828,0.002327,,,
2026-02-28 09:00:29,phase2,34,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.272884,-1.102921,0.061602,0.128254,0.337195,-0.113602,0.113198,-0.747160,0.340842,42,0.549828,0.002327,,,
2026-02-28 09:00:34,phase2,35,5,128,512,,8,4,60,0.327895,0.000068,256,240,1.084535,-0.872129,0.052804,0.106314,0.271555,-0.074062,0.110026,-0.600765,0.383657,79,0.549828,0.002327,,,
