date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2024-03-13,600196.SH,BUY,15400,24.18787369763722,372605.25412314176,627394.7458768582,,,
2024-03-13,601601.SH,BUY,10700,21.838079646017697,233737.71990916808,393657.02596769016,,,
2024-03-13,600183.SH,BUY,8500,17.136115725190837,145701.07292804617,247955.953039644,,,
2024-03-13,002049.SZ,BUY,1300,69.57989460186143,90481.63384571952,157474.3191939245,,,
2024-03-13,000568.SZ,BUY,300,169.21238481727303,50781.35243972845,106692.96675419604,,,
2024-03-13,000063.SZ,BUY,1400,27.946033341322963,39136.396202590084,67556.57055160595,,,
2024-03-14,600346.SH,BUY,2100,11.997648605019492,25202.62835101448,42353.942200591475,,,
2024-03-14,600309.SH,BUY,200,74.37014942917406,14878.773492611079,27475.168707980396,,,
2024-03-14,600276.SH,BUY,200,46.67657994286213,9338.39318492513,18136.775523055265,,,
2024-03-14,002230.SZ,BUY,100,49.981798063380275,5000.211110315903,13136.56441273936,,,
2024-03-15,002074.SZ,BUY,200,19.993746711739394,4000.22062678393,9136.34378595543,,,
2024-03-15,000725.SZ,BUY,800,3.964160672169811,3172.351800743767,5963.991985211664,,,
2024-03-15,600048.SH,BUY,200,9.040191864849515,1808.7063351789616,4155.285650032702,,,
2024-03-18,600837.SH,BUY,100,9.070577067113078,907.5230952948183,3247.7625547378834,,,
2024-03-18,601377.SH,BUY,200,5.584905873140172,1117.3449213694685,2130.417633368415,,,
2024-03-20,600029.SH,BUY,100,5.825819999999999,582.8206050269903,1547.5970283414247,,,
2024-04-09,600115.SH,BUY,100,3.5735699999999992,357.530329597415,1190.0666987440097,,,
2024-04-12,002230.SZ,SELL,100,45.74499559859155,,5758.619409175349,4568.552710431339,-429.62709590668874,-0.0859567107533612
2024-04-12,002007.SZ,BUY,100,17.705026732262613,1771.1476338753062,3987.4717753000423,,,
2024-04-12,000776.SZ,BUY,100,12.02692926390268,1203.139519957495,2784.3322553425473,,,
2024-04-15,001979.SZ,BUY,100,7.823169284885406,782.6287714166739,2001.7034839258736,,,
2024-04-16,601111.SH,BUY,100,7.087079999999999,708.9321891478592,1292.7712947780144,,,
2024-04-24,000100.SZ,BUY,100,4.704864804291252,470.6312697534584,822.140025024556,,,
2024-04-25,000725.SZ,SELL,800,4.230435141509434,,4202.088485684933,3379.948460660378,208.61992292452896,0.0657831317197656
2024-04-26,600588.SH,BUY,100,11.76175,1176.6456304627031,3025.4428552222303,,,
2024-04-26,601601.SH,SELL,10700,23.73069199207872,,256613.7532448547,253588.31038963248,19920.85817724312,0.08525302941693516
2024-04-26,600132.SH,BUY,1600,59.842884200824784,95777.35525113883,160836.3979937159,,,
