date,cash,position_value,total_equity
2024-07-04,41221.90465815434,957530.2068116899,998752.1114698442
2024-07-05,2036.6611415289663,983023.4235598468,985060.0847013758
2024-07-08,361975.0591038454,628404.9262313539,990379.9853351993
2024-07-09,146397.22062839233,847821.9604512017,994219.181079594
2024-07-10,9714.179405219842,971927.7820429596,981641.9614481794
2024-07-11,5218.594401036019,985972.7912421857,991191.3856432218
2024-07-12,46107.58411774339,941605.4259669959,987713.0100847393
2024-07-15,80267.68278208331,914789.9336619726,995057.6164440559
2024-07-16,103445.06566421496,897057.267836193,1000502.3335004079
2024-07-17,50526.31592485503,954851.6690788532,1005377.9850037083
2024-07-18,56822.220916570936,949917.1959044384,1006739.4168210094
2024-07-19,89758.73955653666,922942.2919256771,1012701.0314822138
2024-07-22,22880.721390923634,981688.6236425971,1004569.3450335207
2024-07-23,9156.640281752385,976222.9532545805,985379.5935363328
2024-07-24,18591.247025618006,962230.598031534,980821.845057152
2024-07-25,38032.83575621774,937128.6472495329,975161.4830057506
2024-07-26,17093.07048237101,959731.5466527338,976824.6171351048
2024-07-29,10734.890469958373,966493.4342785067,977228.3247484651
2024-07-30,11548.718778295042,961544.9939323033,973093.7127105984
2024-07-31,5857.298928583694,975848.9525411822,981706.2514697659
2024-08-01,4080.0336971060065,973774.5926289274,977854.6263260335
2024-08-02,4069.196375497057,958983.9020064774,963053.0983819744
2024-08-05,9394.551421800248,938785.5389244609,948180.0903462612
2024-08-06,9442.48443940158,937956.7460143858,947399.2304537874
2024-08-07,11738.715162411405,934870.1934207932,946608.9085832046
2024-08-08,17646.549499127483,934301.3618326877,951947.9113318152
2024-08-09,19815.86625492161,928784.28016466,948600.1464195816
2024-08-12,147193.35016008027,796531.1469825285,943724.4971426087
2024-08-13,46636.617960040385,896169.5075956223,942806.1255556627
2024-08-14,8379.192695085147,922654.295644597,931033.4883396822
2024-08-15,373701.19021632057,568365.6178462378,942066.8080625584
2024-08-16,115543.84081815668,826979.7467030998,942523.5875212565
2024-08-19,62905.53666652911,885270.8120265055,948176.3486930346
2024-08-20,37599.9206095979,906052.3932666265,943652.3138762244
2024-08-21,59266.64892316944,881252.400491865,940519.0494150345
2024-08-22,186983.14662255425,752049.427787556,939032.5744101102
2024-08-23,211049.28518575433,732507.0534207957,943556.33860655
2024-08-26,99674.14881099941,841681.1205559152,941355.2693669146
2024-08-27,111410.65747017275,823448.70559216,934859.3630623327
2024-08-28,49423.95284130901,879493.5411675662,928917.4940088752
2024-08-29,24069.285065638924,902693.313020546,926762.5980861849
2024-08-30,136622.61963430085,796254.6419994006,932877.2616337014
2024-09-02,94869.04145453055,829217.3023428523,924086.3437973829
2024-09-03,44985.554181176754,885282.6977128064,930268.2518939831
2024-09-04,122812.5873172504,801351.2064686066,924163.793785857
2024-09-05,78512.33014358996,847172.3656901272,925684.6958337172
2024-09-06,76643.89989878169,824831.5597447681,901475.4596435498
2024-09-09,32374.03983910895,859219.403694076,891593.4435331849
2024-09-10,121303.82072580086,769382.1539427228,890685.9746685236
2024-09-11,49555.20855947738,843760.8105485139,893316.0191079912
2024-09-12,4943.310148104639,883944.1265968042,888887.4367449089
2024-09-13,35888.40401630053,846820.0599810779,882708.4639973785
2024-09-18,119318.86731304503,766815.8759545276,886134.7432675727
2024-09-19,99426.89957947639,792721.4722840718,892148.3718635482
2024-09-20,26133.92414554368,863510.6002093309,889644.5243548746
2024-09-23,124630.26026662032,765774.1965957602,890404.4568623805
2024-09-24,65588.64536020775,846440.2943546043,912028.9397148121
2024-09-25,90166.47627627334,832938.6979836937,923105.174259967
2024-09-26,75565.6025037817,879865.9710231493,955431.573526931
2024-09-27,19291.401312662932,971911.3138814284,991202.7151940914
2024-09-30,26966.708220537625,1045430.7316041611,1072397.4398246987
2024-10-08,58028.77826335611,1067718.7565114673,1125747.5347748233
2024-10-09,29570.442443090185,1008059.2806810527,1037629.7231241429
2024-10-10,8211.964399928109,1052747.993825262,1060959.95822519
2024-10-11,89730.61995401263,943508.1277072178,1033238.7476612304
2024-10-14,35023.06961427947,1013168.4071542864,1048191.4767685658
2024-10-15,24916.189121963587,995346.8611076075,1020263.0502295711
