date,cash,position_value,total_equity
2024-03-13,28394.715480443818,970338.5258530689,998733.2413335127
2024-03-14,3572.6073275802414,999961.8460638196,1003534.4533913998
2024-03-15,3572.6073275802414,1011404.1765419301,1014976.7838695103
2024-03-18,2306.6376588649605,1016983.9184843953,1019290.5561432602
2024-03-19,2306.6376588649605,1019976.4201366057,1022283.0577954707
2024-03-20,2306.6376588649605,1021479.7381054619,1023786.3757643269
2024-03-21,40286.01563550601,980556.7485396474,1020842.7641751535
2024-03-22,4659.253254126928,995498.4709132828,1000157.7241674097
2024-03-25,7830.552399505982,981580.7500703258,989411.3024698318
2024-03-26,26500.653835079956,972284.5954431075,998785.2492781875
2024-03-27,60005.33625881161,924348.7891254718,984354.1253842835
2024-03-28,26709.601230625452,966784.8218476822,993494.4230783076
2024-03-29,17465.604245232033,978371.6528004898,995837.2570457219
2024-04-01,9608.304211686183,1009430.7075523047,1019039.0117639909
2024-04-02,97347.55972968487,914100.9789451052,1011448.5386747901
2024-04-03,26538.547160976334,978089.9370543965,1004628.4842153728
2024-04-08,28338.833363287617,954628.2830993261,982967.1164626137
2024-04-09,28609.11357176076,955407.7367640976,984016.8503358583
2024-04-10,20330.7382334402,956339.4517663536,976670.1899997938
2024-04-11,5937.868773920311,960896.2762400024,966834.1450139227
2024-04-12,150177.53007428104,803456.5368812089,953634.0669554899
2024-04-15,73685.18659392673,905350.6181265789,979035.8047205056
2024-04-16,65794.84773347265,905680.1189755966,971474.9667090692
2024-04-17,27657.142112879585,949807.421958088,977464.5640709675
2024-04-18,11819.305860626642,966779.0414799122,978598.3473405389
2024-04-19,17574.889525380062,954606.6400826963,972181.5296080764
2024-04-22,5134.870060852263,965491.0154172828,970625.8854781351
2024-04-23,11279.259458776716,962950.7165996956,974229.9760584723
2024-04-24,11279.259458776716,968385.4825068377,979664.7419656144
2024-04-25,30254.444424320576,949522.289423205,979776.7338475256
2024-04-26,28787.744625814797,958407.2754568927,987195.0200827075
2024-04-29,25630.378400844667,963909.259704287,989539.6381051317
2024-04-30,22354.775374386634,961756.2182916449,984110.9936660316
2024-05-06,24000.86437109702,979677.139361998,1003678.003733095
2024-05-07,40920.84884643882,966101.1970962536,1007022.0459426924
2024-05-08,26371.013384322272,976821.8796729244,1003192.8930572467
2024-05-09,43000.29684862447,960772.2299557921,1003772.5268044166
2024-05-10,64413.5708919195,939358.547956601,1003772.1188485206
2024-05-13,36768.567798181415,959641.7354432041,996410.3032413855
2024-05-14,42553.52606225807,956873.3563221996,999426.8823844576
2024-05-15,119232.20232399442,872707.9617315128,991940.1640555072
2024-05-16,99109.40096531059,898314.0489548972,997423.4499202078
2024-05-17,6772.831846476482,1000615.7142446231,1007388.5460910996
2024-05-20,3409.7499273192925,1009480.1473970397,1012889.8973243589
2024-05-21,42491.89501791621,967427.2471675453,1009919.1421854615
2024-05-22,5641.568618123502,998747.9551455141,1004389.5237636376
2024-05-23,20967.423987416434,971980.8230445407,992948.2470319571
2024-05-24,34843.556875812705,946429.517522076,981273.0743978887
2024-05-27,14524.010417970292,973207.9831322818,987731.993550252
2024-05-28,34643.11156149211,942605.5717168112,977248.6832783032
2024-05-29,14591.80161715306,962053.3046219054,976645.1062390585
2024-05-30,23388.168092005217,941612.4716404519,965000.6397324571
2024-05-31,23388.168092005217,940225.4091676138,963613.577259619
2024-06-03,10316.457670507703,953147.2950443665,963463.7527148742
2024-06-04,14815.576830182496,958894.0913788723,973709.6682090547
2024-06-05,53412.16435636697,911643.8458903107,965056.0102466777
2024-06-06,34430.63832148924,927555.8930596736,961986.5313811628
2024-06-07,3645.694721019181,950619.3126328227,954265.0073538418
2024-06-11,19189.632292170136,922741.9931801233,941931.6254722935
2024-06-12,13522.265414754856,927991.4787477938,941513.7441625487
2024-06-13,21775.230426684233,905458.4785309368,927233.708957621
2024-06-14,61230.00730193984,871552.0129182821,932782.020220222
2024-06-17,54416.67780336345,879399.5891282207,933816.2669315841
2024-06-18,22237.620298381837,908031.7279437328,930269.3482421145
2024-06-19,5178.795558263027,923404.9284045323,928583.7239627953
2024-06-20,5178.795558263027,913984.8961016632,919163.6916599263
2024-06-21,5953.365804506142,908254.9208807747,914208.2866852809
2024-06-24,42053.70192178732,868440.5366504326,910494.23857222
2024-06-25,45336.737295128885,865464.7104000086,910801.4476951375
2024-06-26,46781.988322719946,865657.1312903599,912439.1196130798
2024-06-27,20987.989081583728,882332.866408061,903320.8554896447
2024-06-28,16573.868328631244,887235.9219582629,903809.7902868942
2024-07-01,54121.51302490974,857042.8242844839,911164.3373093937
2024-07-02,449969.0627142674,465072.06435010594,915041.1270643733
2024-07-03,112820.19453601894,798648.0925083932,911468.2870444122
2024-07-04,133234.6730062181,771692.7658234156,904927.4388296336
2024-07-05,43419.02552170407,865677.3124472605,909096.3379689646
2024-07-08,200871.7771833035,696749.3147668263,897621.0919501298
2024-07-09,201663.32292385958,700796.6844528549,902460.0073767145
2024-07-10,44445.03284432455,854221.6379699707,898666.6708142953
2024-07-11,56341.98097900009,854488.594806967,910830.575785967
2024-07-12,101102.64188897179,805068.5786017746,906171.2204907464
2024-07-15,57788.455418730904,850740.453171747,908528.9085904779
2024-07-16,121418.19440436276,800076.5214520867,921494.7158564494
2024-07-17,160206.22883273909,758971.522367219,919177.751199958
2024-07-18,182241.89630374475,739823.9447308003,922065.8410345451
2024-07-19,123555.72478731135,802954.0246991046,926509.749486416
2024-07-22,78150.70875437936,841536.1485468885,919686.8573012678
2024-07-23,31072.121640930985,871196.4257635791,902268.5474045101
2024-07-24,36907.86189520267,862566.2464725308,899474.1083677334
2024-07-25,70763.67038310022,822350.5155954745,893114.1859785747
2024-07-26,30426.766948810648,863393.417840933,893820.1847897436
2024-07-29,23312.47851675533,869993.3744574637,893305.852974219
2024-07-30,17563.00187928212,870572.1297941664,888135.1316734485
2024-07-31,5551.930008948518,895921.759493666,901473.6895026146
2024-08-01,3774.698978539283,902228.7365594537,906003.435537993
2024-08-02,8797.78479402544,885746.1859456981,894543.9707397235
2024-08-05,15432.16629995431,862161.6566753074,877593.8229752617
2024-08-06,17786.37274278768,856777.5625892015,874563.9353319892
2024-08-07,14728.073456646933,859261.4357897973,873989.5092464443
2024-08-08,21259.550600976196,854315.4931157087,875575.0437166849
2024-08-09,17632.549703955545,853126.4608545688,870759.0105585243
2024-08-12,126975.80052061338,738889.8980669716,865865.698587585
2024-08-13,81812.14294728877,784790.6124261045,866602.7553733933
2024-08-14,12736.889662119298,844810.1783518523,857547.0680139717
2024-08-15,86856.41740471422,780859.9500872494,867716.3674919636
2024-08-16,54902.041064440185,814446.5076086152,869348.5486730554
2024-08-19,37395.73075193345,837497.0081294292,874892.7388813626
2024-08-20,22848.10171932888,844473.4501361634,867321.5518554923
2024-08-21,66181.55834647195,799352.236541264,865533.794887736
2024-08-22,208888.7871835376,655496.5368303428,864385.3240138805
2024-08-23,226938.39110593766,641782.8172928437,868721.2083987814
2024-08-26,95800.648752738,768777.9471158532,864578.5958685912
2024-08-27,58312.648417839126,798337.6390780681,856650.2874959072
2024-08-28,38398.405508448326,813726.3638224604,852124.7693309088
2024-08-29,20743.444683099668,829839.401798154,850582.8464812536
2024-08-30,129750.51252183385,732151.1521093578,861901.6646311916
2024-09-02,99671.20978783001,752883.0457309496,852554.2555187796
2024-09-03,51972.67688825368,804195.1126244727,856167.7895127264
2024-09-04,105390.41826956028,745132.0717978326,850522.4900673929
2024-09-05,68077.16847853168,784136.5339162766,852213.7023948083
2024-09-06,71886.35001890155,752784.759810593,824671.1098294945
2024-09-09,50599.41277655854,763769.0873617943,814368.5001383529
2024-09-10,52772.435011850706,761672.9202380843,814445.355249935
2024-09-11,19073.772043673107,797134.32515988,816208.0972035531
2024-09-12,4654.603512608668,809616.273384164,814270.8768967727
2024-09-13,26252.996742042276,783780.3967793151,810033.3935213573
2024-09-18,175453.79153904336,638461.0252441075,813914.8167831509
2024-09-19,88474.73631155692,728645.296393714,817120.0327052709
2024-09-20,23656.1296009968,793034.3376875669,816690.4672885637
2024-09-23,85042.43377859262,733491.5242370757,818533.9580156683
2024-09-24,53952.3895853643,787366.6606599506,841319.0502453148
2024-09-25,85503.76823918778,764276.206238518,849779.9744777058
2024-09-26,73397.86651234569,809569.608500476,882967.4750128217
2024-09-27,18562.14575325954,894627.5767748044,913189.7225280639
2024-09-30,21749.264684226393,960853.4924855542,982602.7571697806
2024-10-08,52811.33472704487,969440.8636610723,1022252.1983881172
2024-10-09,12870.051304825996,933277.1318676396,946147.1831724657
2024-10-10,6066.80703368518,971501.1523578189,977567.9593915041
2024-10-11,70058.29237570052,887755.6872371096,957813.9796128102
2024-10-14,23142.05647160917,952757.980341881,975900.0368134902
2024-10-15,25240.579937931252,926262.4891096664,951503.0690475977
2024-10-16,40291.38050867967,908504.0392220058,948795.4197306854
2024-10-17,71854.85475347907,865416.0685889141,937270.9233423932
2024-10-18,155696.62225869423,804930.0520915855,960626.6743502797
2024-10-21,19498.461594261324,940724.6546153319,960223.1162095933
2024-10-22,45502.98572747799,916848.3055631248,962351.2912906029
2024-10-23,6464.434397174972,960746.2424145169,967210.6768116918
2024-10-24,188654.82203549147,769002.9826511907,957657.8046866822
2024-10-25,96746.67596601746,869496.0077726044,966242.6837386218
2024-10-28,32266.058806257817,936055.9796922544,968322.0384985122
2024-10-29,18497.152038059758,942228.7765901536,960725.9286282134
2024-10-30,26845.6052071726,929897.4080173036,956743.0132244761
2024-10-31,66834.84541387475,896438.1984293648,963273.0438432395
2024-11-01,44229.66393474591,917588.5450660754,961818.2090008213
2024-11-04,27070.270918737297,946018.2928915322,973088.5638102695
2024-11-05,11328.74159106717,986854.9171379638,998183.658729031
2024-11-06,118453.23123631431,872765.8165987729,991219.0478350872
2024-11-07,32539.258421131053,985799.3069961015,1018338.5654172326
2024-11-08,42743.26805351983,963781.1538143635,1006524.4218678833
2024-11-11,16718.3426896654,997664.9404849993,1014383.2831746647
2024-11-12,15529.674164066091,991968.4494445935,1007498.1236086596
2024-11-13,39626.89270280188,975386.3428291272,1015013.2355319291
2024-11-14,76824.87433936537,917851.0628120877,994675.9371514531
2024-11-15,56222.39459783239,930801.2008972816,987023.595495114
2024-11-18,17145.302651921047,961448.7525507204,978594.0552026414
2024-11-19,5205.463888428923,977149.8717844973,982355.3356729262
2024-11-20,8700.205120794724,978854.1432795135,987554.3484003082
2024-11-21,5641.70740284099,981872.6296377645,987514.3370406055
2024-11-22,34864.15241618376,922377.7947143265,957241.9471305102
2024-11-25,167779.45864534302,787909.9636259577,955689.4222713008
2024-11-26,69280.77307061927,883648.6851972437,952929.4582678629
2024-11-27,40986.8202395123,923529.402354422,964516.2225939343
2024-11-28,44424.15029772789,911802.7541592681,956226.904456996
2024-11-29,20623.117354823367,944223.4566551135,964846.5740099369
2024-12-02,50314.29975803076,922094.1316187092,972408.43137674
2024-12-03,96773.86211436927,873728.2663924005,970502.1285067698
2024-12-04,52428.9500859297,907213.1646675871,959642.1147535169
2024-12-05,22597.044318745204,937039.3738719258,959636.4181906709
2024-12-06,13991.478388046677,958125.8706229107,972117.3490109574
2024-12-09,5135.663420220455,965554.8983274561,970690.5617476766
2024-12-10,75489.54294661856,902296.8649606375,977786.407907256
2024-12-11,103236.22505512653,873707.7204942083,976943.9455493349
2024-12-12,31265.325610057862,955627.2138390138,986892.5394490717
2024-12-13,70206.78406935271,894591.8728944552,964798.6569638079
2024-12-16,135275.6474448487,821116.5567169974,956392.2041618461
2024-12-17,57924.40309944157,894927.123791303,952851.5268907446
2024-12-18,57924.40309944157,900413.5175958901,958337.9206953316
2024-12-19,109311.67773780027,849965.5228685369,959277.2006063372
2024-12-20,139340.13929714804,819461.22195279,958801.3612499381
